 | 1 | 110 | 65.60 | 21.03 |
 | 2 | 110 | 65.03 | 21.60 |
 | 3 | 110 | 64.87 | 21.52 |
 | 4 | 110 | 64.55 | 21.60 |
 | 5 | 110 | 64.23 | 21.44 |
 | 6 | 110 | 63.99 | 21.36 |
 | 7 | 110 | 63.99 | 21.44 |
 | 8 | 110 | 63.50 | 21.36 |
 | 9 | 110 | 63.58 | 21.19 |
 | 10 | 110 | 63.34 | 21.36 |
 | 11 | 110 | 63.26 | 21.52 |
 | 12 | 110 | 63.18 | 21.44 |
 | 13 | 110 | 62.86 | 21.44 |
 | 14 | 110 | 62.94 | 21.44 |
 | 15 | 110 | 62.70 | 21.68 |
 | 16 | 110 | 62.78 | 21.68 |
 | 17 | 110 | 62.62 | 21.44 |
 | 18 | 110 | 62.45 | 21.52 |
 | 19 | 110 | 62.53 | 21.36 |
 | 20 | 110 | 62.37 | 21.52 |
 | 21 | 110 | 62.37 | 21.68 |
 | 22 | 110 | 62.21 | 21.44 |
 | 23 | 110 | 62.13 | 21.36 |
 | 24 | 110 | 62.29 | 21.68 |
 | 25 | 110 | 62.21 | 21.36 |
 | 26 | 110 | 62.21 | 21.68 |
 | 27 | 110 | 62.05 | 21.44 |
 | 28 | 110 | 61.81 | 21.19 |
 | 29 | 110 | 61.81 | 21.60 |
 | 30 | 110 | 61.97 | 21.52 |
 | 31 | 110 | 61.97 | 21.44 |
 | 32 | 110 | 61.81 | 21.52 |
 | 33 | 110 | 61.89 | 21.36 |
 | 34 | 110 | 61.73 | 21.52 |
 | 35 | 110 | 61.81 | 21.36 |
 | 36 | 110 | 61.65 | 21.68 |
 | 37 | 110 | 61.81 | 21.68 |
 | 38 | 110 | 61.73 | 21.68 |
 | 39 | 110 | 61.57 | 21.68 |
 | 40 | 110 | 61.65 | 21.60 |
 | 41 | 110 | 61.57 | 21.44 |
 | 42 | 110 | 61.57 | 21.44 |
 | 43 | 110 | 61.33 | 21.60 |
 | 44 | 110 | 61.57 | 21.60 |
 | 45 | 110 | 61.73 | 21.52 |
 | 46 | 110 | 61.49 | 21.68 |
 | 47 | 110 | 61.41 | 21.36 |
 | 48 | 110 | 61.41 | 21.36 |
 | 49 | 110 | 61.41 | 21.36 |
 | 50 | 110 | 61.49 | 21.44 |
 | 51 | 110 | 62.05 | 22.73 |
 | 52 | 110 | 60.92 | 21.60 |
 | 53 | 110 | 61.41 | 24.01 |
 | 54 | 110 | 61.89 | 21.76 |
 | 55 | 110 | 61.41 | 21.60 |
 | 56 | 110 | 61.41 | 21.68 |
 | 57 | 110 | 61.25 | 21.44 |
 | 58 | 110 | 61.33 | 21.52 |
 | 59 | 110 | 61.33 | 21.44 |
 | 60 | 110 | 61.49 | 21.36 |
 | 61 | 110 | 61.16 | 21.60 |
 | 62 | 110 | 61.16 | 21.60 |
 | 63 | 110 | 61.16 | 21.60 |
 | 64 | 110 | 61.16 | 21.36 |
 | 65 | 110 | 61.25 | 21.52 |
 | 66 | 110 | 61.33 | 21.44 |
 | 67 | 110 | 61.25 | 21.52 |
 | 68 | 110 | 61.33 | 21.36 |
 | 69 | 110 | 61.08 | 21.68 |
 | 70 | 110 | 61.16 | 21.60 |
 | 71 | 110 | 61.25 | 21.36 |
 | 72 | 110 | 61.08 | 21.52 |
 | 73 | 110 | 61.25 | 21.68 |
 | 74 | 110 | 61.16 | 21.60 |
